abbreviation,اختصار
Shared-address,عنوان مشترك
Shared memory,ذاكرة مشتركة,مصطلح يستخدم أحيانا لوصف نظام له أكثر من نهاية طرفية,تشترك في وحدة تشغيل تعمل في وقت واحد.
Shared object,كائن مشترك
Shar file,حاد
Sharp,حاد
Sharpen,وضوح,دقة,حدة
Sharpness,وضوح,دقة,حدة
Sheets,أغطية
Shelf,رف
Shell,صدفة,قشرة
Shell procedure,إزاحة
Shell scrip,إزاحة
Shell script,إزاحة,نص قشري ( شل )
Shell variable,إزاحة
Shielded twisted pair,إزاحة
Shift,إزاحة
Shift key,اتفاق على المفتاح
Shift left logical,مختصر
Shift right logical,مختصر
Ship,مختصر
Shockwave,مختصر,موجة صدمية
Shopbot,مختصر
Shortcut key,مفتاح الاختصار
Shortest job first,المهمة الاقصر أولا
Shorthand,إظهار
Shovelware,إظهار,عتاد جاروفي
Show,إظهار
Shred,تقليص
Shriek,تقليص
Shrink,تقليص
Side bar,شريط جانبي
Side-effect,مفعول جانبي
Sig,يوقع,رمز,إشارة
Sign,يوقع,رمز,إشارة
Signal,إشارة,أخذ عينات من الإشارة
Signalling rate,معدل الإشارات
Signature,إمضاء,توقيع
Signature block,دلالة,معنى
Significance,دلالة,معنى
Silently,سكوني
Silicon chip,بسيط,سهل
Silo,بسيط,سهل
Silver bullet,بسيط,سهل
Simple,بسيط,سهل
Simple multicast protocol,محاكاة التلدين
Simple path,محاكاة التلدين
Simplex,محاكاة التلدين
Simplex method,محاكاة التلدين
Simplex printer,محاكاة التلدين
Simship,محاكاة التلدين
Simulated annealing,محاكاة التلدين
Simulation,محاكاة
Simultaneous shipment,ارسال فوري
Since,منذ
Since saving,سنغفورة
Sine,سنغفورة
Sine wave,سنغفورة
Singapore,سنغفورة
Single,فريد
Single assignment,وراثة موحدة
Single-attached,وراثة موحدة
Single-duplex,وراثة موحدة
Single-electron transistor,وراثة موحدة
Single ended,وراثة موحدة
Single inheritance,وراثة موحدة
Single inlinememory moduleviewing pipeline,ولوج موحد
Single-instance,ولوج موحد
Single-precision,ولوج موحد
Single quote,ولوج موحد
Single sign-on,ولوج موحد
Single sourcing,نمط المستخدم الوحيد
Single static assignment,نمط المستخدم الوحيد
Single system,نمط المستخدم الوحيد
Singleton,نمط المستخدم الوحيد
Singleton variable,نمط المستخدم الوحيد
Single-user mode,نمط المستخدم الوحيد
Sink,موقع
Sitename,اسم موقع
Size box,صندوق الأحجام
Skew,انحراف,الهيكل الأساسي لبرنامج ما يتضمن التعليمات العامة دون تفاصيل,أو عناوين فعلية.
Skewness,تخطى
Skin,تخطى
Skolemisation,سماء
Skrog,سماء
Skulker,سماء
Sky,سماء
Slant,شرطة مائلة
Slashed Cross,كروس ستي
Slave cycle,نوم
Slave server,نوم
Sleep,نوم
Sleeping,نائم
Slice,شريحة
Slide,شريحة,ينزلق
Slog,شعار
Slogan,شعار
Slot,فتحة
Slow,بطيء
Slow terminals,مطارف بطيئة
Smail,طرفية متطورة
Smalles,طرفية متطورة
Smart,طرفية متطورة
Smart card,طرفية متطورة
Smart terminal,طرفية متطورة
Smash case,ناعم
Smash sum,ناعم
Smooth,ناعم
Snaf,يستنشق,يستشم
Snag,يستنشق,يستشم
Snap,يستنشق,يستشم
Snap dump,يستنشق,يستشم
Snapshot,يستنشق,يستشم
Sneakernet,يستنشق,يستشم
Sniff,يستنشق,يستشم
Sniffer,مراقب الشبكة
Snippet,مقطع
Snooze,إغفاءة,غفوة
Social Network,مقبس
Social science number,مقبس
Socket,مقبس
SOCKS Server,نادل STUN
Softcopy,مفاتيح التحول,نسخة زائلة
Soft key,مفاتيح التحول
Soft keys,مفاتيح التحول
Soft limit,برمجية
Soft link,برمجية
Soft return,برمجية
Software audit,رقابة البرنامج,فحص البرنامج
Software bug,حقيبة تطوير برامج
Software development life cycle,هندسة البرمجيات
Software enabling,هندسة البرمجيات
Software engineering,هندسة البرمجيات,هندسة البرمجة
Software Foundation,أساس فارغ
Software handshaking,قرصنة البرامج
Software interrupt,قرصنة البرامج
Software law,قرصنة البرامج
Software life-cycle,قرصنة البرامج,دورة حياة البرنامج
Software metric,قرصنة البرامج
Software patent,قرصنة البرامج
Software piracy,قرصنة البرامج
Software pirate,قرصان البرامج
Software reliability,عول البرنامج
Software theft,سرقة البرامج
Softweave,صلب
Soft wrap,صلب
Softy,صلب
Solarization,صلب
Solid,صلب
Solid lines,أقصى عدد من السطور
Solid model,فرز
Solid-state storage device,فرز
Solution,فرز
Sorted,مفروز,مرتب
Sorting,فرز,ترتيب,الفرز
Sort order,صوت
Sound,صوت
Sound card,بطاقة الصوت
Soundness,مصدر
Soundproofing,مصدر
Source language,الجسر الجنوبي,لغة المصدر
Source package,الجسر الجنوبي
Source route,الجسر الجنوبي
Source routing,الجسر الجنوبي
Source tree,الجسر الجنوبي
Southbridge,الجسر الجنوبي
Space bar,مسطرة المسافات,مفتاح الفراغ
Space character,تشفيرة الرموز
Space complexity,مباعدة
Space leak,مباعدة
Spacing,مباعدة
Spaghetti code,سخام
Spam,سخام,حثالة البريد الإلكتروني,قمامة بريد إلكتروني
Spamdex,إتساع,برهة
Spamming,إتساع,برهة,نشر جماعي
Span,إتساع,برهة,الباع
Spanning tree algorithm,أحتياطي
Spare,أحتياطي
Sparse,خاص
Spawn,خاص
Speaker,خاص
Spec,خاص
Special,خاص
Special file,تخصص
Specialisation,تخصص
Specialized,متخصص
Specials,خاصيات
Specific address,عنوان مخصص
Specify,تحديد
Specular,التعرف على الكلام
Speculative evaluation,التعرف على الكلام
Speculative execution,التعرف على الكلام
Speech synthesis,سرعة
Speed,سرعة
Spell,مراجعة التهجئة
Spell checker,مدقق إملائي
Spelling,هجاء
Sphere,كرة
Spider,طوفان,عنكبوت
Spike,طوفان,طفرة
Spill,طوفان
Spinbox,شاشة بدء
Spiral,شاشة بدء
Spiral model,شاشة بدء
Splash,شاشة بدء
Splash screen,شاشة البداية
Split,انقسام
Split brain,ينتحل
Split pane,ينتحل
Splot,ينتحل
Spoof,ينتحل
Spoofing,ورقة حساب,احتيال
Spool,ورقة حساب,بكرة
Spread spectrum communications,برنامج تجسس
Sprite,برنامج تجسس
Sprocket feed,برنامج تجسس
Spyware,برنامج تجسس
Square,مربع
Square bracket,قوس مربع
Square numbers,الأعداد المربعة
Stabilize,رصة,رص
Stack,رصة,رص
Stack compression,مؤشر الرصة
Stacked,مؤشر الرصة
Stack frame,مؤشر الرصة
Stacking order,مؤشر الرصة
Stack loader,مؤشر الرصة
Stack overflow,مؤشر الرصة
Stack pointer,مؤشر الرصة
Stack segment,مقطع محجوز من الرصة
Stack traceback,قائم بذاته
Staircase,قائم بذاته
Staircasing,قائم بذاته
Stake,قائم بذاته
Stalled,قائم بذاته
Stand alone,قائم بذاته,معيار,معياري,مستقل
Standard deviation,الانحراف المعياري
Standard disclaimer,خطأ قياسي
Standard error,خطأ قياسي
Standard for robot exclusion,دخل قياسي
Standard input,دخل قياسي
Standard interpretation,خرج قياسي
Standard output,خرج قياسي
Standard semantics,احتياطي
Standby,احتياطي
Start bi,بدء
Starting,بدء
Start tag,بدء التشغيل
Startup files,ملفات برنامج البدء
Startup Program,برنامج بدء تشغيل
State,حالة
State diagram,ثابت,سكوني,مخطط حالات
Stateless,ثابت,سكوني
State machine,ثابت,سكوني
State transition diagram,ثابت,سكوني
Static,ثابت,سكوني
Static allocation,تحليل ثابت,تحليل ساكن,تخصيص استاتي
Statically typed,تحليل ثابت,تحليل ساكن
Static analysis,تحليل ثابت,تحليل ساكن
Static database management system,حقل ثابت
Static field,حقل ثابت
Static link,أحصائي
Static linking,أحصائي
Static nested scope,أحصائي
Static nested scoping,أحصائي
Static random access memory,أحصائي
Static scope,أحصائي
Static typing,أحصائي
Statistical,أحصائي
Statistical time division multiplexing,إحصائيات
Statistics,إحصائيات,الإحصاء
Stats,حالة
Status,حالة,حالة جارية,حالة متوقفة
Status bar,شريط المعلومات,خطوة
Steganography,خطوة,ستيجانوجرافيا
Stemmer,خطوة
Stemming,خطوة
Step,خطوة
Stepwise refinement,عشوائي
Stereogram,عشوائي
Stereotype,عشوائي
Sticky,عشوائي
Sticky analysis,عشوائي
Sticky bit,عشوائي
Sticky content,عشوائي
Sticky data,عشوائي
Sticky keys,عشوائي
Sticky notes,عشوائي
Stipple,عشوائي
Stochastic,عشوائي
Stock-keeping unit,المخزون المتبقي
Stock Ticker,المخزون المتبقي
Stone,وقوف
Stop,وقوف
Stop bit,تخزين
Stopping,تخزين
Stop words,تخزين
Storage,تخزين,سعة التخزين,خزن,مخزن قابل للتبديل
Storage card,بطاقة التخزين
Storage pool,حجم التخزين,مستودع الخزن
Storage space,حجم التخزين
Store and forward,دفق تدفق,خزن وإرسال
Stored procedure,دفق تدفق
Storm,دفق تدفق
Streaming,ضغط ميكانيكي
Stream-oriented,ضغط ميكانيكي
Strength reduction,ضغط ميكانيكي
Stress,ضغط ميكانيكي
Stress testing,متمدد,ممدد
Stretch,متمدد,ممدد
Stretched,متمدد,ممدد
Strict,صارم
Strict evaluation,مشطوب,يتوسطه خط
Strikeout,مشطوب,يتوسطه خط
Strikethrough,مشطوب,يتوسطه خط
Strikethrought,مقطع
String reduction,شقة,نزع
String variable,شقة,نزع
Strip,شقة,نزع
Stripchart program,يصدم
Stripe,يصدم
Stripe set,يصدم
Striping,يصدم
Stroke,يصدم
Stroke font object,بنية
Strongly connected component,بنية
Strongly typed,بنية
Strong typing,بنية
Struct,بنية
Structural recursion,بنية
Structured analysis,بذرة
Structured design,بذرة
Structure diagram,بذرة
Structured language,بذرة
Structured programming,بذرة,البرمجة التركيبية
Stub,بذرة,برنامج مضاف
Stub network,فرعي
STUN,فرعي
Stupid-sort,فرعي
Style,فرعي
Stylesheet,فرعي
Stylewriter,فرعي
Stylus,فرعي
Sub,فرعي
Subband encoding,فئة فرعية
Subclass,فئة فرعية
Subdivision,حقل فرعي
Subfield,حقل فرعي
Sub folder,مجلد فرعي
Subject,دليل المواضيع
Subject index,دليل المواضيع
Subject-oriented programming,اشتراك
Sublanguage,اشتراك
Submenu,اشتراك
Submission,اشتراك
Submit,اشترك,ارسل
Subnet address,قناع الشبكة الفرعية
Subnet mask,قناع الشبكة الفرعية
Subnet number,تسجيل
Subnetting,تسجيل
Subnotebook,تسجيل,حاسوب دفتري صغير
Subroutine,تسجيل,برنامج فرعي
Subscribe,تسجيل
Subscribed,تسجيل
Subscribing,تسجيل
Subscript,تسجيل
Subset,المجموع الفرعي
Subshell support,المجموع الفرعي
Substituted,المجموع الفرعي
Substitution,المجموع الفرعي
Substrate,المجموع الفرعي
Substring,المجموع الفرعي
Substructure,المجموع الفرعي
Subsystem,المجموع الفرعي
Subtitle,المجموع الفرعي
Subtotal,المجموع الفرعي
Subtract,نجاح
Subtype,نجاح
Subtyping,نجاح
Succeed,نجاح
Successor,كافي
Sufficient,كافي
Sufficiently small,صغير كافيا
Suggest,اقتراح
Suggestion,اقتراح
Suite,جمع,مجموع,طقم
Sum,جمع,مجموع
Sum (noun),مجموع
Sum (verb),جمع
Sun-stools,مستخدم جذر
Super,مستخدم جذر
Superblock,مستخدم جذر
Superclass,مستخدم جذر
Supercombinators,مستخدم جذر
Supercompilation,مستخدم جذر
Supercomputer,مستخدم جذر,حاسوب فائق
Superhighway,مستخدم جذر
Superimpose,مستخدم جذر
Super minicomputer,مستخدم جذر
Superordinate,مستخدم جذر
Superpipelined,مستخدم جذر
Superscalar,مستخدم جذر
Superscript,مستخدم جذر
Superset,مستخدم جذر
Supertype,مستخدم جذر
